Condition,Description,FK_OrderID,FK_SupplierID,ProductID,ProductName,Price,Quantity
Used - Very Good,High-quality leather wallet,200796,500064,300000,Leather Wallet,2238.42,11
Refurbished,Durable hiking backpack,200546,500158,300001,Hiking Backpack,2578.15,12
Open Box,Noise-cancelling headphones,200748,500120,300002,Noise-Cancelling Headphones,608.81,15
Open Box,Soft cotton T-shirt,200099,500175,300003,Cotton T-Shirt,2883.09,19
Refurbished,Sleek stainless steel water bottle,200230,500215,300004,Stainless Steel Water Bottle,2847.57,10
Used - Very Good,Compact Bluetooth speaker,200567,500270,300005,Bluetooth Speaker,2008.06,5
New,Lightweight travel suitcase,200438,500055,300006,Travel Suitcase,2060.86,17
Used - Good,Premium organic coffee beans,200629,500104,300007,Organic Coffee Beans,1783.76,7
Certified Refurbished,Comfortable memory foam pillow,200537,500119,300008,Memory Foam Pillow,1317.47,2
Open Box,Stylish wooden sunglasses,200762,500277,300009,Wooden Sunglasses,421.92,5
Pre-Owned,Portable power bank,200524,500023,300010,Portable Power Bank,2258.55,20
Used - Like New,Ultra-soft bath towel,200164,500060,300011,Bath Towel,2862.31,4
Used - Acceptable,Elegant ceramic vase,200220,500228,300012,Ceramic Vase,1244.69,17
Refurbished,Adjustable laptop stand,200458,500154,300013,Laptop Stand,170.71,8
Refurbished,Versatile chef’s knife,200142,500173,300014,Chef’s Knife,2071.91,5
Used - Very Good,Compact digital camera,200140,500220,300015,Digital Camera,32.56,7
Used - Very Good,Durable stainless steel frying pan,200620,500018,300016,Stainless Steel Frying Pan,870.17,4
Used - Very Good,Eco-friendly bamboo toothbrush,200422,500178,300017,Bamboo Toothbrush,685.99,5
Open Box,High-performance gaming mouse,200314,500106,300018,Gaming Mouse,27.93,7
Used - Acceptable,Ergonomic office chair,200369,500155,300019,Office Chair,2438.19,2
Certified Refurbished,Luxurious silk bedsheets,200500,500281,300020,Silk Bedsheets,2449.65,2
New,Heavy-duty toolbox,200492,500129,300021,Toolbox,1706.48,1
Used - Good,Rechargeable LED flashlight,200479,500205,300022,LED Flashlight,441.09,2
Used - Acceptable,Modern minimalist watch,200595,500121,300023,Minimalist Watch,699.06,13
Refurbished,Wireless charging pad,200155,500244,300024,Wireless Charging Pad,1484.86,2
Open Box,Durable yoga mat,200209,500291,300025,Yoga Mat,2179.00,7
Used - Like New,Trendy canvas tote bag,200609,500248,300026,Canvas Tote Bag,1196.01,12
Pre-Owned,Waterproof fitness tracker,200254,500016,300027,Fitness Tracker,2474.87,7
Pre-Owned,High-speed external hard drive,200211,500279,300028,External Hard Drive,1969.16,11
Used - Acceptable,Elegant wine decanter,200026,500031,300029,Wine Decanter,1561.56,12
Used - Like New,Advanced electric toothbrush,200605,500230,300030,Electric Toothbrush,267.98,15
